,White Noise,Sine,Sinusoid,Logistic Map,Brownian Motion
LAM,0.2352834867819722,0.9998550777144548,0.9950906102583839,0.16995614035085857,0.9528811584887271
V MAX,6.0,14.0,11.0,6.0,52.0
TT,2.2934037972183465,12.399430882114125,6.021181788824009,2.0727467237201487,8.806942639679963
V ENTR,0.6842859656681985,1.330597212905171,2.1724715113333755,0.26532386634649174,2.9644852151188057
DIV,0.16666666666666666,0.07142857142857142,0.09090909090909091,0.16666666666666666,0.019230769230769232
C ENTR,3.72256981057595e-05,0.37821257816592924,0.30520355946762073,0.45339439270831994,8.375492969209967e-05
T REC,10.289774553467756,100.5382436259267,50.48018675921796,9.774274214674108,55.078586789520685
DET,0.17126586929009968,0.9999999999998606,0.995670590437739,0.2514004914004605,0.9171300371411025
L MAX,7.0,790.0,845.0,4.0,37.0
L MEAN,2.4364111498222467,199.09444443891405,20.07833883902766,2.1396905060621707,6.617970565448011
L ENTR,0.8807740689159179,3.776693085446637,2.8185820481937993,0.4219190409222662,2.623616661409995
